track_id,track_name,artist_name,track_popularity,explicit,artist_popularity,artist_followers,album_total_tracks,track_duration_min
17Yq72h0p15OhCbZ5lJ5gd,Bickenhead,Cardi B,51,1,81.0,25953771.0,13,3.02
6KBYefIoo7KydImq1uUQlL,Bodak Yellow,Cardi B,72,1,81.0,25956015.0,13,3.72
1vBeIXlzbAieGoDqInav5j,Money Bag,Cardi B,53,1,81.0,25953771.0,13,3.81
7ef4DlsgrMEH11cDZd32M6,One Kiss (with Dua Lipa),Calvin Harris,79,0,84.0,23078931.0,1,3.58
6LOZws7T3jqZz78unPgFF9,Dead To Me,Kali Uchis,74,0,83.0,9469943.0,15,3.32
2qcG0nZ6S3zZV0UrkY5nFo,Drip (feat. Migos),Cardi B,55,1,81.0,25957976.0,13,4.37
7p2ewixAShLpjDZrnzZK7c,Get Up 10,Cardi B,57,1,81.0,25960760.0,13,3.85
1f5PNhkNgUpvDEeZfcIlO1,I Do (feat. SZA),Cardi B,62,1,81.0,25956015.0,13,3.33
58q2HKrzhC3ozto2nDdN4z,I Like It,Cardi B,79,1,81.0,25956015.0,13,4.22
474uVhyGgK5MtY9gMcDgGl,It's Called: Freefall,Rainbow Kitten Surprise,79,1,70.0,1371355.0,13,2.53
3x4nDoh6geWh4RFCySk8q5,L.I.F.T,Emil Rottmayer,8,0,40.0,28312.0,13,5.47
5DfWF0jqMgZDCiu9zJENTA,Ring (feat. Kehlani),Cardi B,67,1,81.0,25956015.0,13,2.95
0CfmNX2TXk7yoJqHJiixnp,She Bad,Cardi B,55,1,81.0,25957976.0,13,3.84
74cVJfmK18rhWnscIpGXjt,Thru Your Phone,Cardi B,71,1,81.0,25957976.0,13,3.14
2lTtnKQgjbrBA1qnOFhBkP,affection,BETWEEN FRIENDS,1,0,61.0,324920.0,5,3.92
0ygr1n1Xk1UvWrzJXjVVng,iloveyou,BETWEEN FRIENDS,0,0,61.0,325311.0,5,2.77
5yfnAsPrvrjiLOhWFycNP4,I'm Only a Fool for You,Dybbukk,57,1,59.0,106664.0,1,1.01
6QdnKD1zwEgyOWtkrdzlOF,Hurt You,The Weeknd,70,1,93.0,112918137.0,7,3.83
1cKHdTo9u0ZymJdPGSh6nq,I Was Never There,The Weeknd,82,0,93.0,112918137.0,7,4.01
5nFyaoBWwwMJ9fv33tZ2MB,What I Need (feat. Kehlani),Hayley Kiyoko,49,0,54.0,1643656.0,13,3.65
2EgB4n6XyBsuNUbuarr4eG,New Freezer (feat. Kendrick Lamar),Rich The Kid,58,1,63.0,3479471.0,15,3.19
5t3Vk8bRKylx4fjj7qlbib,bitches broken hearts,Billie Eilish,74,1,90.0,118760311.0,1,2.94
09mEdoA6zrmBPgTEN5qXmN,Call Out My Name,The Weeknd,85,0,93.0,112918137.0,7,3.8
1VJwtWR6z7SpZRwipI12be,Candy,Doja Cat,79,1,86.0,34742256.0,13,3.18
1ZAyjvIk9YiD76yYy0TEG6,Plug Walk,Rich The Kid,66,1,64.0,3479963.0,15,2.92
3uBFpIBCKd3ivep9tuWapB,The Voice in My Heart,Evan Call,26,0,58.0,78550.0,47,2.33
3WvPn9OHnjQzwyN8Zd1xLJ,Never Coming Back,Evan Call,27,0,58.0,78550.0,47,2.4
0oWpxdUO7zU5PhrHQDqN8h,Now That This Old World Is Ending,Dan Romer,49,0,49.0,34667.0,31,3.4
4X9YfVcnf1TcwJ2EE72wx9,When the Morning Light Shines In,Dan Romer,47,0,49.0,34675.0,31,3.13
7wkBcI20lntbYCcNn3k8iQ,I Can Love You Like That,John Michael Montgomery,36,0,59.0,1198145.0,25,3.89
42bbDWZ8WmXTH7PkYAlGLu,Hold My Girl,George Ezra,70,0,68.0,4312223.0,11,3.52
4jYkrLk6UvOfuwKRQKImCf,Divinity - Original Sin 2 - Main Theme,Borislav Slavov,46,0,56.0,55249.0,42,3.65
6ruM3vVChkDA165VFgidhF,Freak Like Me,NoMBe,53,0,55.0,226784.0,18,2.94
2Ggw6Fz6Uc9SQHWx1aNcwz,Rivellon,Borislav Slavov,0,0,56.0,55191.0,42,2.28
4ofwffwvvnbSkrMSCKQDaC,Shotgun,George Ezra,74,0,68.0,4312205.0,11,3.35
67GJTtb5JKSyesuMDyz3JN,Amber Ale,Borislav Slavov,0,0,56.0,55191.0,42,3.71
33IOhptvC2Qoy2UhjiHXLV,Flames,David Guetta,63,0,87.0,27143729.0,1,3.25
6dbSBQXCctYSVryynHXaZ4,Freaky Friday (feat. Chris Brown),Lil Dicky,73,1,59.0,2046209.0,1,3.61
7AFASza1mXqntmGtbxXprO,changes,XXXTENTACION,73,0,83.0,51710210.0,18,2.03
2ZRo7axmMPeSVUvDbGkJah,Hope,XXXTENTACION,81,1,83.0,51719064.0,18,1.84
3ee8Jmje8o58CHK66QrVC2,SAD!,XXXTENTACION,79,1,83.0,51719064.0,18,2.77
3afkJSKX0EAMsJXTZnDXXJ,Strawberries & Cigarettes,Troye Sivan,74,0,72.0,9462835.0,1,3.35
0JP9xo3adEtGSdUEISiszL,Moonlight,XXXTENTACION,82,1,83.0,51719064.0,18,2.25
3tbNT2X5tfMIVeUflYbZUZ,Alone (Feat. Big Sean & Stefflon Don),Halsey,47,0,80.0,22392682.0,1,3.45
3TDwqpjwUa9bl7YgzPawUM,teen romance,nbmusic,0,1,9.0,2827.0,1,2.58
4QrP9gVlY2cXvdR5RG8nhV,April to Death,Flower Face,43,1,49.0,171981.0,11,3.87
69vToJ9BMbbLlFZo7k7A7B,You Are The Reason,Calum Scott,79,0,73.0,6168229.0,14,3.4
28TkNtKHx6UnOZuoyv3Jzv,Coffee Breath,Sofia Mills,0,0,43.0,71486.0,1,2.73
2BOqDYLOJBiMOXShCV1neZ,Dancing On My Own,Calum Scott,80,0,73.0,6168229.0,14,4.33
0MoQI1EZGSHLhd5UBdxPol,Substance,03 Greedo,68,1,61.0,548736.0,21,3.66
17OHJfDyorFpjHAhEmbccW,Trauerweide,Stimming x Lambert,36,0,25.0,7633.0,7,3.83
2k7PGVIRIqdilhTn1Z0XsO,Take It All,Helena Deland,43,0,42.0,61399.0,2,4.6
0uLlFekr8nKMj960xHKPYx,No Face,Haley Heynderickx,50,0,53.0,319831.0,8,1.94
3yWF3DqFBNLvf7s4C7mKUm,Renegade,Aaryan Shah,2,1,58.0,343014.0,1,3.7
